text,label
Election Commission hides mass surveillance program,fake
Army secretly approves nationwide internet shutdown,fake
Police leaks mass surveillance program,fake
Police bans mass surveillance program,fake
Supreme Court confirms hidden agreement with foreign country,fake
Supreme Court leaks new law overnight,fake
Prime Minister secretly approves new law overnight,fake
Prime Minister leaks nationwide internet shutdown,fake
Police plans new law overnight,fake
Prime Minister secretly approves rigged election results,fake
Army bans nationwide internet shutdown,fake
Police secretly approves hidden agreement with foreign country,fake
Election Commission bans mass surveillance program,fake
Police plans secret economic deal,fake
Police secretly approves secret economic deal,fake
Government leaks mass surveillance program,fake
Prime Minister leaks new law overnight,fake
Supreme Court bans rigged election results,fake
Police plans hidden agreement with foreign country,fake
Election Commission plans nationwide internet shutdown,fake
Army confirms secret economic deal,fake
Army plans mass surveillance program,fake
Government hides new law overnight,fake
Army plans secret economic deal,fake
Government secretly approves hidden agreement with foreign country,fake
Prime Minister hides rigged election results,fake
Election Commission secretly approves mass surveillance program,fake
Election Commission leaks nationwide internet shutdown,fake
Prime Minister bans new law overnight,fake
